iter	RMSE
0	342.9118164
1	330.1821282
2	318.8430413
3	308.7952572
4	298.4409674
5	288.2353756
6	279.4907087
7	269.711566
8	261.1744928
9	252.853089
10	245.5096537
11	238.8420982
12	231.4391498
13	225.1411922
14	218.1827937
15	212.5501313
16	207.2456407
17	202.8921132
18	197.7311828
19	192.8798988
20	188.4194722
21	184.3242361
22	180.3604096
23	176.469018
24	172.919198
25	169.6449402
26	166.3261843
27	163.1263584
28	160.4132739
29	157.6810035
30	155.2683356
31	152.6494782
32	150.3140763
33	148.0783387
34	146.105485
35	143.9370526
36	142.1945349
37	140.2951808
38	138.6552429
39	136.7035817
40	135.1472363
41	133.7379241
42	132.1596313
43	131.0805116
44	129.7455227
45	128.7444963
46	127.3115093
47	126.0521215
48	124.8761834
49	123.6946171
50	122.6240231
51	121.3416245
52	120.4390945
53	119.4983082
54	118.8194364
55	118.1373628
56	117.3290787
57	116.4835479
58	115.9252919
59	115.1669736
60	114.4541506
61	113.6263298
62	113.0391723
63	112.2290006
64	111.5910968
65	111.378677
66	110.813663
67	110.1703537
68	109.2532605
69	108.7426605
70	108.3078177
71	107.7919143
72	107.148621
73	106.7011504
74	106.3811625
75	105.822008
76	105.3691609
77	104.9283726
78	104.6089999
79	104.276709
80	103.9441027
81	103.6011403
82	103.284305
83	102.8946467
84	102.6247725
85	101.9534999
86	101.3613317
87	101.1101571
88	100.4746716
89	100.2821494
90	99.81615414
91	99.43764825
92	99.26111889
93	99.1233654
94	98.82968403
95	98.28542124
96	98.0235343
97	97.86801358
98	97.62414434
99	97.25423589
100	97.08035935
101	96.88180388
102	96.70057584
103	96.43933871
104	96.17445781
105	96.01826786
106	95.75284358
107	95.14251334
108	95.06440442
109	94.91216035
110	94.59963859
111	93.95816774
112	93.86160125
113	93.51302015
114	93.27897125
115	93.11724854
116	92.83446333
117	92.76481747
118	92.30671053
119	92.05747007
120	91.94274686
121	91.74006869
122	91.34552644
123	91.17923748
124	90.80174111
125	90.39330105
126	90.07531428
127	89.72259634
128	89.51927162
129	89.36183078
130	89.17354365
131	88.96276605
132	88.74404915
133	88.6208881
134	88.55534087
135	88.34654318
136	88.24652961
137	88.00875906
138	87.5304813
139	87.35075067
140	87.28517183
141	87.03406915
142	86.86660712
143	86.58854752
144	86.26219687
145	85.79985643
146	85.67268511
147	85.61352337
148	85.26189049
149	84.96829613
150	84.61389905
151	84.36856
152	84.28675447
153	84.16485027
154	83.829962
155	83.55567251
156	83.42137352
157	82.97444446
158	82.92599421
159	82.51055838
160	82.42119405
161	82.28637133
162	81.95367964
163	81.73909852
164	81.62179079
165	81.25631783
166	80.83275772
167	80.65101368
168	80.31411257
169	80.24217125
170	80.07297561
171	79.88157396
172	79.73219653
173	79.57975601
174	79.43961606
175	79.28457066
176	79.14551589
177	79.05921098
178	78.82384763
179	78.78122137
180	78.68754185
181	78.62019577
182	78.430967
183	78.22741127
184	77.98795584
185	77.58638916
186	77.47118303
187	77.22710689
188	77.12059942
189	76.66769151
190	76.63097279
191	76.58425867
192	76.44440582
193	76.33446323
194	76.23495328
195	76.11872277
196	75.9375345
197	75.68127824
198	75.65318082
199	75.50183872
200	75.35015636
201	75.12477594
202	74.98338375
203	74.78493524
204	74.5857693
205	74.51452598
206	74.29164747
207	73.8263941
208	73.72867376
209	73.56729053
210	73.29526456
211	73.09285301
212	72.98521935
213	72.75461561
214	72.56567388
215	72.44767973
216	72.33921286
217	72.15816662
218	72.02361676
219	71.85212147
220	71.48878403
221	71.39258371
222	70.99999353
223	70.87601847
224	70.70232921
225	70.52446106
226	70.4478133
227	70.24154757
228	70.11926255
229	70.05153993
230	69.8676079
231	69.78456137
232	69.42946132
233	69.12895375
234	68.98364587
235	68.79116048
236	68.64905866
237	68.44108742
238	68.29745267
239	67.95228764
240	67.81463753
241	67.6715849
242	67.55480442
243	67.32725682
244	67.16931967
245	67.04811383
246	67.00338291
247	66.92304231
248	66.76172232
249	66.63323262
250	66.47121027
251	66.37914383
252	66.30246426
253	66.21519325
254	66.13098342
255	66.06238164
256	65.89559541
257	65.84847873
258	65.80757241
259	65.68720295
260	65.55665996
261	65.49420183
262	65.45600075
263	65.33257004
264	65.29694649
265	65.2247584
266	65.04973564
267	64.97565564
268	64.7298435
269	64.59059176
270	64.37778735
271	64.18091855
272	63.97101446
273	63.85252328
274	63.74923007
275	63.60869746
276	63.54638796
277	63.49083851
278	63.34888772
279	63.07129466
280	62.93882718
281	62.87833713
282	62.82023958
283	62.71451534
284	62.66726403
285	62.56785075
286	62.41058741
287	62.26475914
288	62.16484805
289	62.07332715
290	62.03282302
291	61.91834557
292	61.89138661
293	61.61214323
294	61.49692412
295	61.37098185
296	61.33054197
297	61.28851098
298	61.22711536
299	61.06969589
300	60.91981155
301	60.85504162
302	60.75498875
303	60.59209272
304	60.46829917
305	60.41071352
306	60.25755029
307	60.01359305
308	59.93242316
309	59.80735802
310	59.71539038
311	59.65760382
312	59.59037907
313	59.50110985
314	59.39328049
315	59.2146816
316	59.15567608
317	59.03207401
318	58.8579726
319	58.81472724
320	58.67356205
321	58.60332603
322	58.47057523
323	58.40253102
324	58.25655077
325	58.208588
326	58.15615662
327	58.01773344
328	57.91138277
329	57.85718903
330	57.71546145
331	57.66913087
332	57.51501355
333	57.47697543
334	57.37847581
335	57.30866217
336	57.26505896
337	57.1668698
338	57.12452967
339	57.03089167
340	56.90266676
341	56.86708125
342	56.75542148
343	56.69134202
344	56.62116158
345	56.58354238
346	56.5253516
347	56.49181427
348	56.33859807
349	56.27731971
350	56.238624
351	56.14145362
352	56.05117807
353	55.92348713
354	55.78357152
355	55.74724521
356	55.68662204
357	55.65067785
358	55.61950182
359	55.48701042
360	55.38499171
361	55.32182073
362	55.22333253
363	55.12246465
364	55.09107683
365	55.05176845
366	54.84890464
367	54.67977302
368	54.6513941
369	54.58232428
370	54.55560238
371	54.48556911
372	54.35965468
373	54.23482209
374	54.20660617
375	54.02675074
376	53.98709265
377	53.96030948
378	53.88033745
379	53.85057102
380	53.7087998
381	53.61731677
382	53.47558119
383	53.36474144
384	53.27081928
385	53.06917015
386	53.03580527
387	52.96064903
388	52.85706494
389	52.82780589
390	52.80158512
391	52.72158005
392	52.6942049
393	52.64238146
394	52.60750157
395	52.47060169
396	52.40003846
397	52.14118501
398	51.99298086
399	51.96559586
400	51.8209186
401	51.71515976
402	51.65599348
403	51.60231541
404	51.51234746
405	51.4421999
406	51.30280053
407	51.17700695
408	51.06828265
409	51.03759361
410	50.97459935
411	50.95066276
412	50.90643704
413	50.80798737
414	50.72226015
415	50.61465656
416	50.55665921
417	50.53801052
418	50.44439658
419	50.31854042
420	50.28405014
421	50.19888726
422	50.16988249
423	50.09370121
424	49.92251662
425	49.83865888
426	49.74281055
427	49.68076775
428	49.59300034
429	49.48402084
430	49.37554049
431	49.28892209
432	49.26189887
433	49.16945844
434	49.07058301
435	49.01693042
436	48.95182522
437	48.88542172
438	48.80878787
439	48.77954775
440	48.71305253
441	48.66261065
442	48.57658465
443	48.53956027
444	48.49499934
445	48.39838158
446	48.32101748
447	48.25296283
448	48.23234529
449	48.17627675
450	48.14118653
451	47.9810314
452	47.93101028
453	47.91155635
454	47.86775472
455	47.80562084
456	47.74216865
457	47.69574772
458	47.63849359
459	47.55958741
460	47.51519317
461	47.46388623
462	47.41838854
463	47.32983974
464	47.26702716
465	47.1788364
466	47.13160837
467	47.11365171
468	47.04971222
469	47.03287355
470	46.97642506
471	46.91574052
472	46.79558495
473	46.75530068
474	46.696647
475	46.67453795
476	46.6438314
477	46.54648448
478	46.488984
479	46.42472075
480	46.37617265
481	46.3345192
482	46.28308856
483	46.15292364
484	46.08004704
485	45.98587105
486	45.93055808
487	45.8079567
488	45.77783294
489	45.7333127
490	45.68329997
491	45.63666234
492	45.61838635
493	45.50682067
494	45.41962562
495	45.27790342
496	45.18848835
497	45.1352534
498	45.05685501
499	44.93989502
500	44.90895744
501	44.86310258
502	44.7947809
503	44.71574941
504	44.64029117
505	44.57982041
506	44.47474211
507	44.45397635
508	44.38404867
509	44.3277444
510	44.2589369
511	44.22866703
512	44.18183766
513	44.14507286
514	44.12519741
515	44.10795092
516	44.02239759
517	43.96418056
518	43.89473886
519	43.81256254
520	43.74399858
521	43.70447909
522	43.66136032
523	43.62106858
524	43.58310484
525	43.4799168
526	43.44472684
527	43.40182342
528	43.35512137
529	43.29479995
530	43.26642397
531	43.21478674
532	43.17851577
533	43.11585888
534	43.09629413
535	43.05704754
536	42.98821984
537	42.89916315
538	42.8667898
539	42.81555963
540	42.7536772
541	42.73986267
542	42.72664512
543	42.69087431
544	42.64218086
545	42.58946892
546	42.52489906
547	42.49699052
548	42.4325795
549	42.35881518
550	42.33228229
551	42.28249883
552	42.20902881
553	42.19299203
554	42.15364047
555	42.08072379
556	42.06493608
557	41.99451229
558	41.96478993
559	41.92437273
560	41.90849076
561	41.86585147
562	41.8078996
563	41.76785206
564	41.7065017
565	41.65862646
566	41.64407317
567	41.58306714
568	41.52861225
569	41.43677093
570	41.39522355
571	41.33665503
572	41.26690186
573	41.23852143
574	41.17393455
575	41.16610705
576	41.13203425
577	41.09585102
578	40.97580437
579	40.93721132
580	40.92082145
581	40.88178736
582	40.83313013
583	40.78657848
584	40.74774745
585	40.73579603
586	40.68501823
587	40.64591134
588	40.57703279
589	40.5059574
590	40.46743835
591	40.4024477
592	40.26949292
593	40.20054336
594	40.14186399
595	40.08828761
596	40.05689183
597	40.01875732
598	40.01053277
599	40.00016041
600	39.93806332
601	39.92604437
602	39.88837495
603	39.77717677
604	39.76955634
605	39.73289906
606	39.67027196
607	39.61078341
608	39.59582498
609	39.57239686
610	39.51944556
611	39.44920978
612	39.40798699
613	39.33544809
614	39.2576593
615	39.21477686
616	39.19823722
617	39.19038735
618	39.11074674
619	39.04652219
620	39.00296884
621	38.97087551
622	38.91004534
623	38.90310744
624	38.86628424
625	38.85878518
626	38.83140902
627	38.75816772
628	38.69338571
629	38.68683079
630	38.66172748
631	38.6238385
632	38.56699029
633	38.51391019
634	38.4688283
635	38.46165594
636	38.429367
637	38.33314366
638	38.29368131
639	38.26427807
640	38.19310906
641	38.14886624
642	38.09718309
643	38.06560774
644	38.03878474
645	38.0317637
646	37.98350228
647	37.92389719
648	37.91711047
649	37.84035226
650	37.80622677
651	37.76640609
652	37.6988875
653	37.67056943
654	37.58829559
655	37.53782822
656	37.49106106
657	37.44201632
658	37.40792121
659	37.37459155
660	37.35275265
661	37.33466653
662	37.30892975
663	37.30218726
664	37.26655798
665	37.22372435
666	37.1687629
667	37.13107715
668	37.09722377
669	37.06422522
670	37.00300682
671	36.99371982
672	36.94401577
673	36.9351697
674	36.90386696
675	36.87145016
676	36.78775928
677	36.73729882
678	36.69668129
679	36.66979381
680	36.6405003
681	36.60830561
682	36.57177967
683	36.52039198
684	36.50683706
